first_name,last_name,price,above_100
William,Dixon,109.037280,true
Kristen,Horn,262.524652,true
Kimberly,Chang,187.007258,true
Mary,Ball,283.174648,true
Benjamin,Craig,143.871582,true
Cathy,Werner,61.508991,false
Brandon,Bell,48.637309,false
Paul,Farley,12.389465,false
Sarah,Mcdaniel,151.595447,true
Caroline,Anderson,75.621521,false
Carl,Jones,147.029405,true
Scott,Lee,244.185653,true
Kaylee,Coleman,17.864270,false
Charles,Parker,215.537283,true
Susan,Hess,38.359971,false
Kiara,Collier,204.182549,true
Scott,Martinez,165.851429,true
Christopher,Ortega,30.301445,false
Michael,Russell,243.172491,true
Dwayne,Johnson,287.493286,true
Patty,Smith,180.234426,true
Deanna,Sherman,99.799118,false
Douglas,Francis,161.768891,true
Vicki,Diaz,18.649877,false
Robin,Phillips,244.911984,true
Travis,Rice,141.498825,true
Ashley,Rocha,50.003037,false
Sarah,Jacobson,80.481825,false
Kayla,Shannon,98.915314,false
Sean,DDS,220.628218,true
Richard,Estrada,49.168692,false
Joseph,Torres,150.123784,true
Kim,Jones,18.843438,false
Melissa,Tanner,269.184030,true
Jackson,Cline,64.312517,false
Sonya,Foster,296.215501,true
Allen,Williams,15.390832,false
Thomas,Rivera,95.228437,false
Jamie,Silva,296.824408,true
Kathleen,Moore,92.500524,false
Evelyn,Pineda,169.228929,true
Kyle,Peters,106.799095,true
Anthony,Cruz,49.101998,false
Eric,Flores,122.955699,true
Anna,Richardson,254.495261,true
Gary,Harper,47.596526,false
Linda,Johnson,115.362782,true
Melissa,Smith,87.979948,false
Kristen,Floyd,135.023041,true
William,Diaz,192.149136,true
Benjamin,Smith,134.905294,true
David,Glenn,216.291046,true
Dawn,Jones,271.614500,true
Joel,Smith,14.494920,false
Larry,MD,268.675868,true
Joseph,Arnold,121.775047,true
Kyle,Long,241.621639,true
Brittany,Day,261.546057,true
Bobby,Ward,63.513036,false
Thomas,Lee,254.075577,true
Jennifer,Hansen,101.488735,true
Lisa,Murray,176.091917,true
Meghan,Wade,273.230341,true
Tammie,Brooks,84.888569,false
Maria,Bell,264.074665,true
Allison,Livingston,130.348443,true
Chris,Hays,17.342764,false
Courtney,Mitchell,78.932577,false
Shawn,White,188.021926,true
Taylor,Gomez,225.019824,true
Jeremy,Rodriguez,200.724821,true
April,Garcia,66.245560,false
Zachary,Watts,15.497388,false
Sarah,Montoya,206.821255,true
Jennifer,Barker,89.186160,false
Sharon,Garza,72.357727,false
Tiffany,Stevens,196.379322,true
Ruben,Armstrong,93.698367,false
Jeffrey,Spencer,271.162282,true
Nicole,Ramsey,247.859607,true
Anne,Roy,277.932482,true
Lori,Sanchez,285.661641,true
Allison,Chavez,126.850211,true
Marcus,Adams,36.470409,false
Mary,Smith,16.315072,false
Joseph,Reed,178.457674,true
Jason,Armstrong,26.045257,false
Jeff,Armstrong,88.475613,false
Sean,Shields,247.839526,true
Jessica,Allison,104.742308,true
Christian,Grant,99.117079,false
Edward,Watson,180.353559,true
Derrick,Cooke,142.090116,true
Arthur,MD,235.966975,true
Sean,Patrick,139.450799,true
Heather,Collins,127.392573,true
Megan,Gomez,107.862445,true
William,Hale,114.670925,true
Olivia,Thompson,8.608441,false
Lori,Torres,18.858274,false
Vickie,Hernandez,214.932181,true
Kimberly,Brown,40.319933,false
Sherry,Meza,182.854550,true
Phillip,Hansen,44.116117,false
Jeanette,Knight,28.686943,false
Kayla,Hanson,27.630364,false
James,Johnston,284.429055,true
John,Porter,53.727993,false
Elizabeth,Reyes,93.680757,false
Kristen,Henry,77.006244,false
Claudia,Anderson,160.340159,true
Nicholas,Webb,18.710386,false
Allison,Cooper,206.042107,true
Zachary,Barnes,280.774132,true
Gregory,III,265.976581,true
Terry,Ayers,16.511639,false
Jessica,Wilson,290.409546,true
Daniel,Frazier,190.329192,true
Brian,Welch,218.250508,true
Carol,Chavez,123.183443,true
Ethan,Mcdonald,214.350317,true
Gerald,Martinez,57.547864,false
Eric,King,59.879264,false
Sylvia,Walters,110.946313,true
Jonathan,Lane,64.467101,false
Matthew,Turner,180.262870,true
Jeffrey,Bauer,30.515842,false
Jessica,Shaffer,54.901937,false
Chris,Spencer,251.375283,true
Mary,Clarke,236.052988,true
Timothy,Mendoza,105.983482,true
Alicia,Hoffman,182.343699,true
Joseph,Gardner,144.809134,true
Rachael,Rangel,297.949641,true
Jeffrey,Harrington,194.271634,true
Sophia,Randolph,158.543126,true
Debbie,Freeman,275.871917,true
Matthew,Braun,201.774966,true
Sheri,Hudson,268.374840,true
Mary,King,204.078575,true
Beth,Davis,155.068065,true
Margaret,Castillo,193.906324,true
Tommy,Sandoval,172.283041,true
Christopher,Hines,46.554353,false
Richard,Wright,208.359697,true
Michael,Brown,278.523089,true
Nathan,Yu,134.189510,true
Cameron,Ford,248.892138,true
Carla,Hayes,265.374576,true
Marissa,Matthews,136.092578,true
Samuel,Thompson,237.159242,true
Gary,Figueroa,168.944768,true
Michael,West,146.888685,true
Martin,Walton,140.340058,true
Zachary,Lee,8.667302,false
Christopher,Stephenson,67.011856,false
Eric,Ortiz,117.724246,true
Kara,Pittman,56.239644,false
Andrew,Cowan,295.939181,true
Rhonda,DDS,259.039751,true
Sarah,Williams,92.826277,false
Carolyn,Collins,236.247289,true
Larry,Mooney,135.270179,true
Laura,Livingston,294.258070,true
Candace,Mckenzie,84.581458,false
Candace,Wallace,124.746454,true
Jason,White,218.431804,true
Patricia,Reynolds,89.011768,false
Michael,Ellison,244.471711,true
Melissa,Robles,238.456097,true
Heidi,Fry,109.626472,true
James,Smith,163.957386,true
Charles,Ruiz,48.458118,false
Stephanie,DDS,9.144974,false
Stacey,Garcia,106.619204,true
Glenda,Burke,206.363506,true
Zachary,Alvarez,104.052369,true
Rachel,Shaw,2.448212,false
Carmen,Beard,269.623685,true
Tony,Daniels,186.903578,true
Randy,Mora,70.741060,false
George,Aguirre,128.949751,true
James,Miller,297.040564,true
Jacqueline,Williams,17.306222,false
April,Taylor,121.289890,true
Robert,Johnson,131.623778,true
Gary,White,280.970651,true
Kim,Lowe,192.775876,true
Samantha,Jones,136.341556,true
Randy,Lozano,16.301050,false
Arthur,Chavez,6.903795,false
Melissa,Miller,162.606695,true
Leslie,Mccormick,282.502107,true
Carlos,Rubio,63.218024,false
David,York,86.532193,false
Gabriella,Anthony,7.638645,false
Olivia,Poole,117.854172,true
Wayne,Wilson,74.670472,false
Elizabeth,Moore,267.398814,true
Janice,Campbell,33.453398,false
Julie,Johnson,63.641568,false
Misty,Cantrell,189.039209,true
Robert,Soto,109.013836,true
Brenda,Cowan,60.849577,false
Kelly,Guerrero,259.511216,true
David,Nichols,19.485249,false
Kayla,Taylor,186.235628,true
Antonio,Garcia,125.477213,true
Tyler,Cisneros,186.589830,true
Jillian,Crawford,158.817277,true
Karl,Pierce,132.774681,true
Joann,Taylor,276.962196,true
Jennifer,Jenkins,59.128582,false
Nancy,Brown,78.870734,false
Emma,Munoz,120.842876,true
Shawn,Galloway,141.029862,true
Melissa,Mcguire,213.082120,true
Bryan,Chavez,125.396156,true
Fernando,Salazar,256.153731,true
Megan,Moore,251.347799,true
Robert,Williams,175.209725,true
Dennis,Sanford,29.450433,false
Kimberly,Herrera,154.807651,true
Gloria,Potts,289.104935,true
Suzanne,Barnett,8.470995,false
Leah,Myers,44.557974,false
Kylie,Thomas,13.453416,false
Amanda,Murphy,50.553216,false
Christopher,Matthews,282.363497,true
Nicole,Parks,52.283998,false
Bobby,Martin,205.489970,true
Kevin,Chambers,121.171102,true
Kimberly,Lawson,250.288074,true
Rachel,Lopez,101.888112,true
Christopher,Clay,219.384509,true
Daniel,Martin,0.300193,false
William,Taylor,66.557470,false
Steven,Johnson,111.293282,true
Daniel,Miller,80.577568,false
Taylor,Bryant,187.631541,true
Lauren,Jones,194.792631,true
Lindsey,Robertson,22.737647,false
Allison,Thomas,168.333498,true
Vernon,Bishop,216.187045,true
Susan,Parsons,132.918526,true
Brady,Snyder,210.396086,true
Brent,Mcgrath,174.698357,true
Peter,Smith,278.608018,true
Deborah,Fox,248.122823,true
Heather,Collins,147.427407,true
Phillip,Meyers,102.797747,true
Nicholas,Hubbard,275.400836,true
Misty,Ramirez,62.316814,false
Scott,Johnson,85.873890,false
Jay,Nixon,253.467479,true
Tony,Hall,61.197165,false
Taylor,Smith,41.492646,false
Mark,Reynolds,70.497944,false
Marilyn,Christensen,155.485453,true
Denise,Atkins,185.451601,true
Melissa,Gonzales,228.002600,true
Henry,Hoffman,229.662888,true
Daisy,Davenport,59.527535,false
Christopher,Paul,122.713170,true
Kevin,Craig,148.201052,true
Natalie,Coleman,122.144045,true
Jeremy,Strickland,130.843566,true
Gary,Bonilla,162.615253,true
Amanda,Richards,236.595716,true
Heidi,Perez,245.175723,true
Robert,Johnson,174.692235,true
Gary,Mills,183.836321,true
Chelsea,Caldwell,16.120837,false
John,Frye,223.277418,true
Michael,Strong,220.412232,true
Christopher,Delgado,85.782798,false
Whitney,Wallace,253.455618,true
Rebecca,Martinez,59.683202,false
Marissa,Mccoy,116.963465,true
Ricky,Kerr,38.995844,false
Anna,Campbell,249.921340,true
Marie,Walters,73.388087,false
Robert,Martin,38.222883,false
Marc,Davis,162.280262,true
James,Dixon,159.379433,true
Vicki,Ramirez,186.160243,true
Krista,Campbell,161.233844,true
Lauren,Patterson,170.212327,true
Megan,Clark,290.258156,true
Judy,Zimmerman,219.588826,true
Joseph,MD,210.784186,true
Lori,Acevedo,210.660290,true
William,Taylor,275.633176,true
Dawn,Snyder,248.984042,true
Jennifer,Simmons,80.683537,false
Alyssa,Nunez,163.800900,true
Robert,Black,63.928005,false
Julia,Young,239.239668,true
Melinda,Barnes,227.250635,true
Brett,Armstrong,154.134184,true
Erik,Stevenson,246.004072,true
Daniel,George,34.800893,false
Lindsey,Jones,197.702040,true
Virginia,Lopez,227.425592,true
Andrew,Brown,92.883180,false
Donna,Lowery,264.832609,true
Alexis,Andrade,6.313985,false
Alyssa,Pierce,47.740325,false
Tara,Johnson,38.267687,false
Michael,Brady,162.059432,true
James,Rhodes,51.924140,false
Pamela,Scott,42.433334,false
Martin,Ward,170.949825,true
Kristina,Hernandez,107.691572,true
Robert,Bush,87.180042,false
Rebecca,Larson,214.389573,true
Brittany,Watson,190.520018,true
Ryan,Ramirez,249.728791,true
Edward,Burns,87.649970,false
John,Prince,31.738420,false
Ashley,Boyer,107.662599,true
James,Dean,61.695454,false
Natalie,Gordon,268.280009,true
Ryan,Smith,136.207813,true
Stephen,Thompson,54.296397,false
William,Delgado,96.254425,false
Brian,Johnson,124.929208,true
James,Patel,216.605643,true
Allen,Rogers,145.434247,true
Aimee,Reyes,277.665682,true
Susan,Williams,255.215353,true
Edward,Griffin,108.620522,true
Debra,Baker,296.500309,true
Yvette,Kramer,279.937117,true
Alyssa,DVM,270.897224,true
John,Cunningham,173.024283,true
Dana,Gilbert,86.519171,false
Stephen,Henry,146.151558,true
Bradley,James,137.982494,true
Melinda,Peters,16.830030,false
Robert,Goodman,213.542398,true
Leslie,Moore,195.963080,true
Sarah,Gray,270.794729,true
Amy,Haynes,258.506277,true
Gary,Dean,184.425152,true
Jonathan,Duran,224.536142,true
Elizabeth,Ruiz,124.669450,true
Caitlin,Lewis,196.359896,true
Micheal,Blackburn,10.443175,false
Sheryl,Mccarthy,159.951973,true
Lisa,Smith,150.912268,true
Jared,Juarez,247.560646,true
Brett,Castro,217.332859,true
Jessica,Murray,175.302218,true
Austin,Coffey,16.259140,false
Shelly,Jacobs,3.856762,false
Elizabeth,Logan,298.742328,true
Cody,Anderson,128.081497,true
Kayla,Wood,256.052876,true
Paul,DDS,157.963617,true
James,Mays,245.243307,true
Thomas,Moore,244.591498,true
Linda,Pacheco,299.604007,true
Jenny,Clark,66.323118,false
Patrick,Guzman,223.496598,true
Scott,Peters,229.487331,true
John,Stevenson,23.099272,false
Kristina,Brooks,154.680583,true
Nancy,Aguilar,63.387875,false
Robert,Brown,132.732954,true
Jessica,Williams,255.958158,true
David,Brown,290.594481,true
Dorothy,Munoz,242.564540,true
Jason,Lawson,76.092466,false
James,Hall,167.969831,true
Patricia,Carpenter,46.081471,false
Jeff,Cardenas,64.360526,false
Michelle,Johnson,19.189450,false
Frank,Madden,17.340214,false
George,Tanner,291.429265,true
Dylan,Johnson,40.653286,false
Pamela,King,282.481765,true
Jesse,Frazier,95.665685,false
Edward,Russell,103.223591,true
Diana,Mcdonald,183.096436,true
Randy,Dawson,192.144151,true
Jasmine,Williams,286.169234,true
Robert,Smith,124.219007,true
Sara,Young,183.994486,true
Samantha,Gonzalez,205.589926,true
Christina,Torres,286.268162,true
Maria,Bailey,141.907629,true
Charles,Bartlett,94.226587,false
Natalie,Parker,238.016159,true
Paula,DDS,48.883817,false
Jessica,Jenkins,14.947779,false
Drew,Henson,223.076131,true
Michael,Davis,17.980909,false
Ian,Ramos,23.684656,false
Anna,Wright,235.582460,true
Ashley,Anderson,74.408659,false
Jennifer,Wright,298.127877,true
Nicole,Lopez,67.728886,false
Tara,Ellis,21.927614,false
Hannah,Elliott,42.350031,false
Gavin,Rodriguez,116.366424,true
Johnny,Jackson,291.596890,true
